"id" "X48a" "X48b" "X10a" "X10b" "X9a" "X9b" "X42a" "X42b" "X37a" "X37b" "X18a" "X18b" "X58a" "X58b" "X25a" "X25b" "X27a" "X27b" "X13a" "X13b" "X35a" "X35b" "X4a" "X4b" "X56a" "X56b" "X6a" "X6b"
"15" "N748836" 272 279 122 122 131 131 249 249 237 237 188 188 293 299 173 197 222 222 NA NA 230 230 106 106 305 305 119 119
"16" "Z993519" 272 279 122 143 131 137 249 249 237 237 184 184 310 316 202 213 213 222 140 140 230 234 106 108 305 305 119 129
"17" "N748821" 279 284 122 122 131 133 249 249 237 237 184 188 299 299 213 213 222 222 140 140 230 232 106 108 305 305 117 119
"18" "Z993521" 272 272 122 122 131 131 249 249 247 247 184 184 299 310 173 213 213 222 140 140 230 232 106 106 301 305 117 117
"19" "N748853" 272 272 122 122 131 131 249 249 237 237 184 188 299 299 213 213 184 222 140 140 232 234 106 106 299 305 119 129
"20" "N748831" 272 279 122 130 131 133 249 253 237 237 188 188 293 310 213 213 213 213 140 147 230 232 106 106 305 305 117 119
"21" "Z993527" NA NA 122 122 131 131 249 253 237 237 184 184 NA NA NA NA NA NA NA NA 230 230 106 108 305 305 119 129
"22" "N748820" 272 279 122 130 131 133 249 249 237 247 184 184 293 299 213 213 217 222 147 152 230 230 106 108 305 305 117 129
"23" "N748837" 272 279 143 143 131 131 249 253 237 241 184 188 299 316 173 197 213 222 152 152 234 234 106 106 305 305 129 129
"24" "N021998" NA NA 122 122 133 137 249 253 237 247 184 188 293 299 202 202 213 213 140 140 230 230 106 106 299 305 117 119
"25" "N748839" 272 279 122 130 131 131 249 253 237 237 184 184 299 299 173 202 222 222 140 140 232 232 106 108 305 305 119 125
"26" "N748847" 279 284 122 130 131 131 249 253 237 237 184 188 299 299 197 197 184 222 140 140 230 232 106 106 305 305 119 129
"27" "N748805" 279 279 122 122 131 131 249 249 237 237 184 184 299 299 173 202 213 222 140 147 230 232 106 108 305 305 119 119
"28" "N748822" 272 272 122 143 131 133 249 249 237 247 184 184 299 299 173 202 222 222 140 140 232 234 106 108 305 305 117 119
"29" "N748811" 279 279 122 122 131 131 249 253 237 237 188 188 293 316 173 202 213 222 140 152 232 232 106 106 305 305 119 119
"30" "N748829" 279 279 122 122 131 133 249 253 237 237 188 188 293 299 213 213 213 222 147 147 232 232 106 108 299 305 117 119
"31" "N748846" 272 279 122 122 131 133 249 253 237 237 184 184 316 316 173 202 213 213 140 152 230 230 106 108 305 305 119 129
"32" "N748809" 272 279 122 122 131 131 249 249 241 247 184 188 299 316 197 213 222 222 140 140 230 232 106 106 305 305 117 129
"33" "N748804" 279 279 122 122 131 131 249 253 241 241 184 184 293 316 173 213 213 222 152 152 230 230 108 108 305 305 119 129
"34" "N021994" 272 272 122 143 131 131 249 249 237 237 184 188 299 316 202 213 213 222 140 140 232 232 106 106 299 305 119 129
"35" "Z993600" 279 279 122 143 131 131 249 249 241 241 184 184 293 305 202 213 184 213 140 140 232 232 106 108 305 305 117 117
"36" "Z993601" 272 279 122 143 131 137 249 249 237 237 184 184 299 305 213 213 184 222 140 140 230 232 106 108 305 305 119 129
"37" "N748832" 272 279 122 122 131 131 249 249 237 241 184 184 299 310 202 213 213 222 140 152 230 232 106 106 301 305 117 129
"38" "N748828" 279 279 122 143 131 131 249 249 237 237 184 188 293 310 202 213 213 213 140 152 230 234 108 108 301 305 117 119
"39" "N748824" 272 279 122 143 131 131 249 253 237 237 188 188 293 299 197 209 184 222 140 140 230 234 106 108 299 305 119 129
"40" "N748851" 272 279 122 122 131 131 249 253 237 237 184 188 299 310 173 213 184 222 152 152 232 232 106 106 301 305 129 129
"41" "N748845" 272 279 122 143 131 133 249 253 237 241 184 188 299 299 213 213 184 213 140 152 230 232 106 108 305 305 117 129
"42" "N748815" 272 279 130 122 131 137 249 253 237 237 184 184 299 299 202 213 213 213 140 140 230 234 106 108 299 305 117 129
"43" "N748803" 272 279 122 122 131 131 249 249 237 241 184 188 293 299 213 213 184 222 152 152 232 232 106 106 299 305 119 129
"44" "N748852" 272 272 122 122 131 131 249 249 237 237 184 184 293 316 202 213 184 222 140 140 232 232 106 106 299 301 117 119
"45" "N748812" 272 272 122 143 131 137 249 249 237 237 184 188 299 299 197 206 222 222 140 152 230 230 106 108 305 305 125 129
"46" "N748834" 272 272 130 143 131 131 249 249 237 237 184 184 293 299 173 202 184 222 NA NA 230 232 106 108 305 305 119 119
"47" "N022000" 272 279 122 122 131 131 249 249 237 237 188 188 299 316 213 213 213 217 140 152 230 232 106 108 305 305 119 129
"48" "N748810" 272 279 122 122 131 131 249 253 237 241 184 184 293 305 209 213 213 222 140 152 230 232 106 108 305 305 119 129
"49" "N748840" 272 279 122 122 137 137 249 249 237 237 184 184 299 305 202 213 213 213 140 152 230 230 106 106 305 305 117 119
"50" "N748849" 272 279 122 143 133 137 249 253 237 237 184 188 305 310 202 202 222 222 140 152 230 230 106 106 305 305 117 129
"51" "Z993584" 272 279 122 122 131 131 249 249 237 241 184 184 299 305 202 213 213 222 152 152 230 230 106 106 305 305 117 119
"52" "N748813" 272 279 122 122 131 131 249 249 237 247 184 188 293 293 206 213 222 222 140 140 230 234 106 108 305 305 119 129
"53" "N748843" 279 279 122 143 131 131 249 253 241 247 184 188 299 316 206 213 222 222 140 152 230 230 106 108 305 305 119 119
"54" "N748814" 272 279 122 143 131 131 249 249 237 241 184 184 299 305 202 213 213 222 140 152 230 230 106 106 305 305 117 129
"55" "N748808" 272 279 122 122 131 133 249 249 241 247 184 188 293 299 197 206 184 222 140 152 230 232 106 106 305 305 119 119
"56" "N748818" 272 279 122 122 131 131 249 249 237 241 184 188 299 316 197 213 213 222 140 140 230 230 106 106 305 305 117 129
"57" "N021999" 272 279 122 130 131 131 253 253 237 241 184 184 293 310 173 173 184 222 140 152 230 234 106 108 305 305 117 119
"58" "N748823" 272 279 130 143 131 137 249 253 237 241 184 184 293 310 173 202 213 213 140 152 230 230 106 108 305 305 119 129
"59" "N021997" 272 279 122 130 131 131 249 253 237 237 184 184 299 299 197 213 184 213 140 140 230 230 106 108 299 299 117 119
"60" "N021995" 272 272 122 143 131 131 249 249 237 237 184 188 299 316 202 202 213 222 140 140 232 232 106 106 299 305 119 129
"61" "N748802" 272 279 122 143 131 137 249 253 237 241 184 188 293 310 173 202 213 217 140 152 230 230 106 106 305 305 125 129
"62" "K278112" 272 279 122 122 131 133 249 249 237 241 184 184 299 316 202 202 184 222 140 152 230 232 106 106 305 305 119 129
"63" "J368407" 279 284 122 122 131 131 249 253 237 241 184 184 293 299 213 213 213 217 140 152 230 234 106 108 305 305 119 119
"64" "N021840" 272 272 122 143 133 137 249 249 237 237 184 188 305 310 197 202 213 222 140 140 230 234 106 108 299 305 129 129
"65" "K278101" 272 284 122 143 131 133 249 253 237 237 184 184 293 293 213 213 213 222 140 140 230 232 106 108 305 305 119 129
"66" "N021738" 279 284 122 143 131 131 249 249 237 237 184 184 310 316 173 173 222 222 140 152 230 232 106 108 305 305 125 129
"67" "J368403" 272 284 122 143 131 133 249 249 237 237 184 188 310 316 173 213 222 222 140 140 230 234 106 106 305 305 117 125
"68" "J368401" 272 279 122 130 131 133 249 249 237 237 184 188 299 316 197 213 213 213 140 140 230 232 108 108 305 305 117 129
"69" "C568793" 272 279 122 143 131 131 249 249 237 247 184 188 299 299 202 213 213 217 140 152 230 234 106 108 299 305 117 129
"70" "J368469" 279 279 122 143 131 131 249 253 237 241 184 188 293 293 213 213 213 213 140 152 232 232 106 106 299 301 119 119
"71" "K278045" 279 279 122 122 131 131 249 249 241 241 184 188 293 293 197 213 213 213 140 152 230 232 106 106 301 305 119 129
"72" "J368405" 272 272 122 122 131 133 249 249 237 237 184 188 299 316 197 213 213 222 140 140 230 234 106 106 299 305 117 119
"73" "K278119" 272 279 122 122 131 133 249 249 241 247 184 196 316 316 173 213 222 222 140 152 234 234 106 108 301 305 117 129
"75" "N021760" 279 284 122 143 131 131 249 249 241 247 184 188 293 299 197 197 184 222 152 152 230 232 106 106 305 305 117 119
"76" "J854304" 272 279 122 122 131 131 249 249 241 241 184 188 293 310 213 213 213 222 140 152 230 230 106 106 299 299 129 129
"77" "N021715" 272 279 122 122 131 131 249 249 237 237 184 188 293 316 173 202 213 222 140 140 230 230 106 106 305 305 119 129
"78" "K278256" 272 272 122 122 131 133 249 249 237 237 184 188 293 310 197 202 213 222 140 140 230 232 106 108 299 305 129 129
"79" "N021718" 279 279 122 143 131 137 249 249 241 247 184 188 299 299 197 213 213 222 140 140 230 234 106 106 301 305 117 119
"80" "C568814" 279 279 122 122 131 131 249 253 237 241 184 184 293 299 173 213 213 222 147 152 230 232 106 106 299 305 117 119
"81" "C568819" 272 279 122 122 131 131 249 249 237 237 184 184 310 316 202 202 213 222 140 140 234 234 106 106 305 305 117 119
"82" "K278275" 279 279 122 122 131 133 249 253 237 241 184 196 299 310 202 209 213 217 140 147 230 232 106 106 305 305 117 117
"83" "K278068" 272 279 122 122 131 133 249 249 241 247 184 188 299 299 173 213 222 222 140 152 234 234 106 108 301 305 117 129
"84" "J368413" 279 279 122 122 131 131 249 249 237 237 184 188 316 316 213 213 217 222 152 152 230 230 106 108 305 305 117 129
"85" "N021772" 279 284 122 130 131 133 249 249 237 247 188 188 310 316 213 213 213 217 147 152 230 232 106 108 299 305 117 119
"86" "J854381" 272 279 122 122 131 131 249 253 237 237 184 188 293 316 206 213 222 222 140 152 232 232 106 106 299 305 119 129
"87" "N021839" 279 279 122 143 131 131 249 253 237 241 184 184 293 316 213 213 222 222 152 152 230 232 106 106 299 299 119 129
"88" "J368361" 272 272 122 122 131 131 NA NA 237 241 184 188 293 310 197 209 184 222 140 140 230 232 106 108 299 305 117 125
"89" "N021765" 272 284 122 122 131 131 249 249 237 241 184 188 310 310 209 213 184 222 140 140 230 230 106 108 299 305 125 125
"90" "N021717" 272 279 122 122 133 133 249 249 237 237 184 188 299 310 173 213 213 222 140 152 232 234 106 106 305 305 119 129
"91" "K278064" 279 279 122 122 131 131 249 253 237 241 184 188 299 316 173 213 222 222 152 152 230 232 106 108 299 305 119 119
"92" "N021716" 272 272 122 143 131 137 249 253 237 237 184 184 305 310 202 213 213 213 140 140 230 234 106 108 299 305 119 129
"93" "J368400" 272 279 122 143 131 137 249 249 237 237 184 184 305 316 197 213 213 222 140 152 230 230 106 106 305 305 129 129
"94" "J854316" 272 279 122 122 131 131 249 249 237 247 184 196 293 299 173 202 184 222 140 152 230 234 106 108 299 301 119 129
"95" "K278265" 279 284 122 122 131 137 249 249 247 247 184 196 299 299 213 213 217 222 140 152 230 232 106 108 299 305 117 119
"96" "C568820" 272 279 122 122 131 133 249 249 237 237 184 188 299 316 213 213 222 222 140 147 232 232 106 108 299 305 119 129
"97" "K278111" 272 279 122 143 131 131 249 249 237 241 188 188 299 316 213 213 213 213 140 140 230 230 106 108 299 305 117 125
"98" "N021763" 272 279 130 143 133 133 249 253 237 237 184 188 305 310 197 197 213 213 140 152 230 232 106 106 305 305 117 129
"99" "N021764" 272 272 122 143 131 133 249 253 237 237 184 188 299 310 197 213 213 222 140 152 232 234 106 106 299 305 129 129
"100" "N021827" 272 272 122 122 133 137 249 253 237 247 184 188 299 299 173 202 213 222 140 140 230 230 106 106 299 305 117 125
"101" "B425110" 279 279 122 122 131 131 249 249 237 237 188 188 293 299 202 213 213 222 147 147 230 230 106 108 305 305 117 119
"102" "K278006" 272 279 122 122 131 131 249 249 237 241 188 188 299 310 213 213 213 213 140 147 230 232 106 106 305 305 119 119
"103" "C568815" 279 279 122 122 131 131 249 253 237 237 188 188 299 299 173 213 184 213 140 147 230 232 106 108 305 305 117 119
"104" "N021924" 279 279 122 122 131 131 249 253 237 241 188 188 293 293 202 213 184 213 147 152 230 232 106 108 305 305 117 119
"105" "N021843" 272 272 143 143 131 131 249 249 237 237 184 196 293 299 197 213 184 222 140 152 230 232 106 106 305 305 117 129
"106" "J368464" 272 284 122 122 131 131 249 253 237 237 184 184 299 310 197 213 222 222 140 140 232 232 106 106 299 305 125 129
"107" "K278268" 279 284 122 122 131 131 249 249 241 247 184 188 293 316 213 213 213 213 147 152 230 232 106 106 299 305 117 129
"108" "J854314" 272 279 122 122 131 133 249 249 237 247 184 188 310 310 213 213 222 222 140 140 230 234 106 106 299 305 117 119
"109" "C568767" 272 279 122 122 131 131 249 249 237 247 184 188 310 310 197 213 213 222 140 147 232 234 106 106 305 305 117 117
"110" "N021926" 279 279 122 122 131 133 249 249 237 241 184 188 299 299 213 213 184 222 147 152 230 232 106 106 299 305 119 119
"111" "J368318" 272 279 122 122 131 131 249 249 237 237 184 188 299 316 173 213 213 222 140 147 230 232 106 106 305 305 119 119
"112" "J368358" 272 279 122 122 131 131 249 253 237 237 184 188 293 310 197 213 213 222 140 147 230 230 106 106 299 305 117 129
"113" "N021707" 272 279 122 122 131 131 249 253 237 247 188 188 293 293 202 213 213 213 140 140 230 232 106 108 305 305 119 129
"114" "N021729" 272 279 122 130 131 133 249 253 237 237 184 188 299 305 197 213 213 222 140 152 230 234 106 108 299 305 129 129
"115" "N021739" 272 279 122 130 133 133 249 253 237 237 184 188 293 310 197 213 213 217 140 152 230 230 106 106 299 305 119 129
"116" "N021735" 272 272 122 143 133 133 249 253 237 237 184 188 305 305 197 202 213 213 140 140 230 232 106 108 305 305 117 117
"117" "J368301" 272 279 122 122 131 131 249 249 237 237 184 184 293 310 213 213 222 222 140 140 230 232 106 106 305 305 119 129
"118" "K278267" 272 272 122 122 131 131 249 253 237 247 184 188 299 310 197 213 222 222 140 140 232 232 106 106 299 305 117 125
"120" "K278273" 272 272 122 122 131 131 249 249 237 237 184 188 299 299 202 213 184 213 140 152 230 232 106 106 305 305 119 119
"121" "N021710" 279 279 122 130 131 131 249 249 237 237 184 184 293 299 173 213 184 222 152 152 NA NA 106 106 305 305 117 129
"122" "N021914" 272 272 122 122 131 137 249 249 237 237 184 188 293 316 213 213 222 222 140 152 230 232 108 108 305 305 129 129
"123" "N021913" 272 272 122 143 131 131 249 249 237 237 184 188 293 305 202 213 222 222 140 140 232 232 106 106 299 301 117 129
"124" "K278277" 272 279 122 122 131 131 249 249 237 237 184 188 299 310 202 213 213 222 140 140 230 232 106 106 305 305 119 129
"125" "K278043" 272 272 143 143 131 137 249 249 237 237 184 188 299 305 202 213 213 222 140 140 232 232 106 106 299 305 129 129
"126" "N021912" 272 272 122 122 131 131 249 249 237 237 184 188 299 310 197 202 213 213 140 140 230 234 106 106 305 305 117 119
"127" "J368430" 272 279 122 143 131 133 249 249 237 241 188 188 299 299 213 213 213 222 140 140 230 230 106 106 299 305 117 129
"128" "J854338" 272 279 122 143 131 137 249 249 237 241 184 184 299 310 202 213 213 222 140 152 230 232 106 106 301 305 117 129
"129" "N021916" 272 279 122 122 131 131 249 249 237 241 184 184 299 299 213 213 213 222 140 140 230 230 106 106 299 305 129 129
"130" "N021832" 272 279 122 143 131 131 249 249 237 241 184 188 299 316 173 202 213 222 140 140 230 234 106 108 305 305 117 117
"131" "N021747" 272 279 143 143 131 131 249 249 237 237 184 184 305 310 202 213 213 222 140 140 232 234 106 108 301 305 119 125
"132" "K278281" 272 279 122 143 131 131 249 249 237 237 184 188 293 310 209 213 222 222 140 152 230 232 106 106 301 305 117 119
"133" "J854341" 272 272 122 122 131 133 249 253 237 237 184 188 299 316 197 202 213 213 140 140 230 230 106 108 305 305 119 119
"134" "K278300" 279 279 122 122 131 133 NA NA 241 241 184 184 299 299 197 197 213 213 140 140 232 232 106 106 305 305 129 129
"135" "N021795" 272 272 122 130 131 131 249 253 237 237 184 188 299 310 173 213 213 222 140 140 230 234 106 108 305 305 117 129
"136" "K278107" 272 279 122 122 131 131 249 249 237 237 188 188 316 316 173 213 213 222 140 140 230 232 106 106 299 305 119 119
"137" "J368432" 272 279 122 122 131 131 249 249 237 237 184 184 299 299 202 202 222 222 140 140 230 230 106 106 305 305 119 129
"138" "K278299" 272 279 122 143 131 131 249 249 237 241 184 188 305 316 213 213 213 222 140 140 230 230 106 106 305 305 129 129
"139" "K278027" 279 279 122 130 131 133 249 249 237 241 184 188 299 316 173 202 184 222 152 152 230 230 106 106 305 305 119 129
"140" "N021937" 279 284 122 143 131 133 249 253 237 241 184 184 293 299 202 202 213 213 140 152 230 234 108 108 305 305 117 117
"141" "N021750" 272 272 122 122 131 131 249 249 237 237 184 184 293 305 202 213 213 213 140 140 230 234 106 106 305 305 119 125
"142" "K278276" 272 279 122 122 131 131 249 249 237 237 184 184 293 316 213 213 184 222 152 152 230 232 106 106 299 305 129 129
"143" "K278254" 272 279 122 143 131 131 249 253 237 241 184 188 293 299 202 213 213 213 140 152 230 232 106 106 305 305 119 129
"144" "K278283" 272 279 122 122 131 131 249 249 237 241 184 188 299 299 202 206 213 222 140 152 230 232 106 108 305 305 119 125
"145" "VE80200" 272 279 122 143 131 137 249 249 237 241 184 184 310 316 213 213 184 222 140 152 230 232 106 106 299 305 119 129
"146" "N021730" 272 272 122 130 131 131 249 249 237 247 184 188 299 310 213 213 222 222 152 152 230 232 106 106 299 305 119 129
"147" "J854485" 272 272 122 143 131 131 249 249 237 237 184 188 299 310 213 213 213 222 140 140 230 232 108 108 305 305 119 129
"148" "N021749" 272 272 143 143 131 131 249 249 237 237 184 196 293 293 197 213 184 213 140 140 230 234 106 108 NA NA 117 119
"149" "N021742" 272 279 122 122 131 131 249 249 241 247 184 188 299 299 197 213 213 222 140 152 230 234 106 106 305 305 119 129
"150" "J854309" 272 279 122 143 133 137 249 249 237 241 184 184 299 299 202 213 213 222 140 152 230 230 106 108 299 305 119 129
"151" "N021736" 272 272 122 143 131 137 249 249 237 237 184 184 293 299 202 202 184 213 140 140 230 232 106 106 305 305 119 129
"152" "J368416" 272 279 122 122 131 131 249 249 237 237 184 188 299 316 202 213 213 222 140 152 232 234 106 108 299 305 119 125
"153" "J854385" 279 279 122 122 131 133 249 249 237 241 184 196 299 316 173 213 213 222 140 152 230 232 108 108 305 305 117 119
"154" "J368415" 279 279 122 122 131 133 249 249 241 241 184 188 305 310 173 213 213 213 140 152 230 232 106 106 305 305 117 129
"155" "K278025" 279 279 122 122 131 133 249 253 237 241 184 184 293 299 202 213 213 222 140 152 230 230 108 108 305 305 117 119
"156" "J854383" 272 279 122 143 131 133 249 249 237 247 184 188 299 305 197 213 213 222 140 140 230 232 106 108 299 305 119 119
"157" "N021722" 272 279 122 122 131 133 249 249 237 237 184 184 299 305 173 197 184 222 140 147 232 232 106 106 305 305 119 129
"158" "N021719" 272 279 122 122 131 137 249 249 237 247 184 188 293 299 213 213 213 222 140 140 230 234 106 106 305 305 117 119
"159" "J854377" 272 279 122 122 131 131 249 253 237 237 184 184 293 316 206 213 217 222 140 152 230 230 108 108 305 305 119 129
"160" "K278264" 272 279 122 143 131 133 249 249 237 241 184 184 299 305 173 202 213 222 140 152 230 230 106 106 305 305 117 117
"161" "N021701" 272 279 122 122 133 133 249 249 237 237 184 184 299 305 173 197 184 222 140 147 230 232 106 108 305 305 119 119
"162" "J368451" 279 279 122 122 131 133 249 253 237 237 184 188 310 316 173 197 213 222 147 152 230 232 106 108 305 305 119 129
"163" "N021704" 272 272 122 122 131 131 253 253 237 237 184 188 293 299 202 213 213 213 140 140 230 232 106 108 299 305 117 117
"164" "N021859" 272 272 130 143 131 133 249 253 237 237 184 184 299 299 202 213 217 222 140 140 232 234 106 106 299 305 129 129
"165" "N021951" 272 272 122 143 131 131 249 253 237 247 184 188 299 299 173 197 184 222 140 140 230 232 106 108 305 305 119 129
"166" "J854312" 272 272 122 122 131 133 249 249 237 247 184 188 310 310 213 213 213 222 140 140 232 232 106 106 305 305 117 119
"167" "N021705" 272 279 130 130 131 131 249 249 237 237 184 184 299 299 173 197 184 222 140 140 230 230 106 108 299 305 119 119
"168" "J854343" 272 279 122 143 131 133 249 249 237 237 184 184 299 299 202 213 213 222 140 152 232 234 106 108 301 305 119 119
"169" "N021785" 272 272 122 143 131 131 249 249 237 237 184 184 299 299 197 202 184 184 140 152 230 234 106 108 299 305 119 129
"170" "J368412" 279 279 122 143 131 133 NA NA 237 237 184 184 299 305 202 202 217 222 152 152 230 232 106 106 299 305 129 129
"171" "N748801" 272 279 122 143 131 131 249 253 237 241 184 184 293 293 213 213 213 213 140 152 232 232 106 106 301 305 119 129
"172" "N748850" 272 272 122 143 131 131 249 249 237 237 184 188 299 316 213 213 222 222 147 140 230 232 106 106 301 305 117 129
"173" "N021950" 279 279 122 122 131 131 249 249 237 237 184 184 299 310 213 213 213 213 140 147 230 232 106 108 299 305 117 119
"174" "N021952" 272 272 122 122 131 131 249 249 237 247 184 184 310 316 197 213 222 222 140 140 230 232 106 108 299 305 117 129
"175" "N021968" 272 272 122 122 131 133 249 249 237 237 188 188 299 316 202 213 213 217 140 140 230 234 106 108 305 305 117 119
"176" "N021829" 272 272 122 122 131 131 249 249 237 237 184 196 293 299 173 209 222 222 140 140 232 232 106 108 305 305 119 129
"177" "N021989" 272 279 122 122 131 133 249 249 237 237 184 184 316 316 197 202 222 222 140 147 230 232 106 108 305 305 117 129
"178" "N021972" 272 272 122 130 131 131 249 249 237 237 184 188 293 310 173 213 213 213 140 140 230 232 106 106 305 305 119 119
"179" "N021904" 272 279 122 130 131 133 249 249 237 237 184 184 299 316 197 209 184 217 140 140 230 232 108 108 305 305 129 129
"180" "N021821" 272 272 122 122 131 131 249 249 237 247 184 184 299 316 202 213 184 213 140 152 230 230 106 106 299 305 117 129
"181" "N021905" 279 279 122 143 131 131 249 249 237 241 188 188 293 310 173 202 213 222 152 152 230 234 106 108 305 305 129 129
"182" "N021984" 272 279 122 143 131 131 249 249 237 241 184 184 299 316 173 202 184 213 140 152 230 232 106 108 305 305 117 117
"183" "N748885" 272 272 122 143 131 133 249 253 237 237 184 196 293 293 173 197 213 213 140 140 230 234 106 106 305 305 117 117
"184" "B425137" 272 279 122 122 131 133 249 253 237 241 188 188 299 316 197 213 222 222 140 152 230 230 106 106 305 305 117 129
"185" "C568760" 272 279 122 122 131 131 NA NA 237 247 184 188 310 316 213 213 222 222 140 140 230 232 106 108 299 305 117 119
"186" "C568792" 279 279 122 122 133 133 249 249 241 241 184 188 299 299 173 213 213 222 152 152 230 234 106 106 305 305 119 129
"187" "C922355" 272 279 122 130 131 131 249 249 237 237 184 188 299 310 173 213 184 222 140 152 230 230 106 106 305 305 119 129
"188" "C922366" 272 279 122 122 133 133 249 253 237 241 184 188 299 299 202 213 222 222 140 152 230 230 106 106 299 305 117 119
"189" "C922396" 279 279 122 143 131 133 249 249 241 247 184 184 310 316 173 213 184 213 140 152 230 232 106 106 305 305 119 129
"190" "J368306" 272 279 122 122 131 133 249 249 237 241 184 188 293 310 173 197 213 222 140 152 230 232 106 108 299 305 119 129
"191" "J368307" 272 279 122 122 131 133 249 249 241 247 184 196 293 299 173 213 184 213 140 152 234 234 108 108 299 305 129 129
"192" "J368309" 279 279 122 143 131 131 249 253 237 237 184 188 293 299 213 213 213 213 147 152 230 232 106 106 305 305 117 129
"193" "J368312" 279 279 122 143 131 133 NA NA 237 237 184 184 299 305 202 202 217 222 152 152 230 232 106 106 299 305 129 129
"194" "J368314" 272 272 122 143 131 133 249 253 237 237 184 188 299 310 213 213 222 222 140 140 230 232 106 108 299 305 119 125
"195" "J368315" 279 279 122 143 131 131 249 249 241 247 188 188 299 316 197 213 222 222 140 140 230 234 106 108 305 305 119 129
"196" "J368319" 272 272 122 130 131 133 249 249 237 247 188 188 293 299 173 202 184 213 140 140 230 232 106 108 305 305 117 129
"197" "J368323" 272 284 122 143 131 131 249 249 247 247 184 188 299 299 197 213 184 222 140 152 230 232 106 106 299 305 117 119
"198" "J368324" 272 279 122 143 131 131 249 249 237 241 184 188 299 299 197 213 213 222 140 152 230 230 106 108 299 305 119 125
"199" "J368357" 272 279 122 122 131 131 NA NA 237 237 188 188 310 316 202 213 213 213 140 140 232 232 106 108 305 305 119 119
"200" "J368360" 272 279 122 122 131 131 NA NA 237 247 184 188 310 316 213 213 222 222 140 140 230 232 106 108 299 305 117 119
"201" "J368363" 272 272 122 122 131 131 NA NA 237 237 184 196 316 316 213 213 222 222 140 140 230 232 106 108 305 305 117 117
"202" "J368367" 272 279 130 143 131 137 249 249 237 237 184 196 299 305 173 197 184 222 140 152 230 230 106 108 299 305 129 129
"203" "J368408" 272 272 122 122 131 133 249 249 237 237 184 188 299 316 173 197 222 222 140 152 230 232 106 108 305 305 119 119
"204" "J368409" 272 272 122 143 131 131 249 249 237 237 188 188 310 316 213 213 222 222 140 152 230 232 106 106 299 301 117 125
"205" "J368410" 272 279 122 122 131 133 249 249 237 247 184 184 310 316 213 213 184 213 140 140 230 232 106 106 305 305 119 119
"206" "J368417" 272 284 122 122 131 133 249 249 237 237 184 184 310 310 197 197 222 222 140 152 230 232 106 106 305 305 117 129
"207" "J368429" 279 279 122 143 131 137 249 249 237 241 184 184 305 316 202 213 184 222 140 140 232 234 106 108 305 305 117 119
"208" "J368431" 279 279 122 130 131 131 249 249 237 237 184 188 299 299 197 213 184 222 140 140 230 232 106 108 299 305 119 129
"209" "J368449" 272 272 122 122 131 133 249 249 237 247 184 188 299 316 197 202 184 213 140 147 230 232 106 106 305 305 119 129
"210" "J368468" 272 272 122 143 131 133 249 249 237 237 184 184 293 299 202 213 213 217 140 140 232 234 106 106 305 305 125 129
"211" "J368470" 272 279 122 143 131 133 249 253 237 241 184 184 293 299 197 202 213 213 140 152 230 230 106 106 305 305 117 119
"212" "J854302" 272 279 122 143 131 131 249 249 237 237 184 188 310 310 202 213 184 217 140 147 232 232 106 106 299 299 117 129
