"id" "X48a" "X48b" "X10a" "X10b" "X9a" "X9b" "X42a" "X42b" "X37a" "X37b" "X18a" "X18b" "X58a" "X58b" "X25a" "X25b" "X27a" "X27b" "X13a" "X13b" "X35a" "X35b" "X4a" "X4b" "X56a" "X56b" "X6a" "X6b"
"1" "C568759" 272 279 122 122 131 131 249 253 237 237 188 196 299 299 173 197 184 222 140 152 232 234 106 108 299 305 125 129
"2" "N021754" 272 279 122 122 131 131 249 249 237 237 188 188 299 310 213 213 213 222 140 147 230 232 106 106 305 305 119 119
"3" "N748835" 272 272 122 122 133 133 249 249 237 237 184 184 299 316 202 202 213 222 140 140 232 232 106 108 305 305 125 129
"4" "Z993558" 272 279 122 122 133 133 249 249 237 241 184 184 299 316 202 202 184 213 147 152 230 230 106 108 305 305 129 129
"5" "N748825" 272 272 122 143 131 137 249 249 237 237 184 184 299 305 202 202 213 213 140 140 230 230 106 108 299 305 129 129
"6" "N748841" 279 279 122 143 133 133 249 249 237 241 184 184 316 316 173 213 184 213 152 152 230 232 106 108 305 305 129 129
"7" "N748842" 279 284 122 122 131 131 249 249 237 247 184 184 316 316 206 213 184 222 140 140 230 232 106 106 305 305 117 117
"8" "N748848" 279 284 122 122 131 131 249 249 237 237 184 188 293 316 173 213 213 222 140 152 232 232 106 108 305 305 119 129
"9" "Z993553" 279 284 122 143 131 133 249 249 237 237 184 188 310 316 173 213 222 222 140 152 232 234 106 106 305 305 117 125
"10" "N748838" 279 279 122 143 131 133 249 249 241 241 184 188 293 293 197 197 184 213 152 152 230 232 106 106 299 305 119 129
"11" "N748827" 279 279 122 122 131 133 249 253 241 241 184 184 293 293 213 213 217 222 152 152 230 230 106 106 299 299 129 129
"12" "Z993562" 272 279 122 122 131 133 249 253 237 241 184 188 293 293 202 213 213 217 152 152 230 230 106 108 299 305 119 129
"13" "N748826" 272 272 122 143 131 131 249 249 237 237 184 188 299 316 202 202 222 222 140 152 230 232 106 108 305 305 129 129
"14" "N748830" 272 279 122 122 133 137 249 249 237 247 184 184 299 305 213 213 213 222 140 140 230 232 108 108 299 305 119 129
